Metric,acq,alum,austdlr,austral,barley,bfr,bop,can,carcass,castor-meal,castor-oil,castorseed,citruspulp,cocoa,coconut,coconut-oil,coffee,copper,copra-cake,corn,corn-oil,cornglutenfeed,cotton,cotton-meal,cotton-oil,cottonseed,cpi,cpu,crude,cruzado,dfl,dkr,dlr,dmk,drachma,earn,escudo,f-cattle,ffr,fishmeal,flaxseed,fuel,gas,gnp,gold,grain,groundnut,groundnut-meal,groundnut-oil,heat,hk,hog,housing,income,instal-debt,interest,inventories,ipi,iron-steel,jet,jobs,l-cattle,lead,lei,lin-meal,lin-oil,linseed,lit,livestock,lumber,lupin,meal-feed,mexpeso,money-fx,money-supply,naphtha,nat-gas,nickel,nkr,nzdlr,oat,oilseed,orange,palladium,palm-meal,palm-oil,palmkernel,peseta,pet-chem,platinum,plywood,pork-belly,potato,propane,rand,rape-meal,rape-oil,rapeseed,red-bean,reserves,retail,rice,ringgit,rubber,rupiah,rye,saudriyal,sfr,ship,silk,silver,singdlr,skr,sorghum,soy-meal,soy-oil,soybean,stg,strategic-metal,sugar,sun-meal,sun-oil,sunseed,tapioca,tea,tin,trade,tung,tung-oil,veg-oil,wheat,wool,wpi,yen,zinc
Article Count,1,0,1,0,14,0,8,0,3,0,0,0,1,1,0,0,4,1,1,19,1,2,11,0,0,0,1,0,14,0,0,0,2,1,0,0,0,0,0,0,0,2,1,13,1,84,0,0,1,4,0,3,0,0,0,4,0,2,1,1,2,0,4,0,0,1,1,0,5,0,0,2,0,5,4,0,1,2,0,0,0,31,1,2,0,6,1,0,0,2,1,0,1,0,0,1,0,3,0,1,2,7,0,0,0,1,0,0,0,0,1,0,0,4,9,2,21,2,4,10,0,0,6,0,1,0,11,0,0,15,12,0,1,12,1
Accuracy,0.9767287234042553,0.9923537234042553,1.0,1.0,0.9950132978723404,0.9996675531914894,0.9906914893617021,0.9996675531914894,0.9940159574468085,1.0,0.9996675531914894,1.0,1.0,0.995345744680851,0.9993351063829787,0.9990026595744681,0.9986702127659575,0.995345744680851,0.9996675531914894,0.9876994680851063,1.0,1.0,0.9930186170212766,1.0,0.9996675531914894,0.9996675531914894,0.989029255319149,1.0,0.9800531914893617,1.0,0.9996675531914894,1.0,0.9847074468085106,0.9990026595744681,1.0,0.9837101063829787,1.0,0.9990026595744681,1.0,1.0,1.0,0.9946808510638298,0.992686170212766,0.9867021276595744,0.9950132978723404,0.9860372340425532,0.9983377659574468,1.0,0.9996675531914894,0.9976728723404256,0.9996675531914894,0.9990026595744681,0.9993351063829787,0.9976728723404256,0.9993351063829787,0.9767287234042553,0.9993351063829787,0.9940159574468085,0.9923537234042553,0.9990026595744681,0.9956781914893617,0.9990026595744681,0.9930186170212766,0.9986702127659575,1.0,0.9996675531914894,1.0,0.9993351063829787,0.9940159574468085,0.9976728723404256,1.0,0.9946808510638298,1.0,0.9660904255319149,0.9913563829787234,0.9983377659574468,0.9886968085106383,0.9986702127659575,0.9996675531914894,0.9996675531914894,0.9986702127659575,0.9860372340425532,0.9976728723404256,0.9996675531914894,1.0,0.9980053191489362,0.9996675531914894,1.0,0.9933510638297872,0.9980053191489362,1.0,0.9996675531914894,0.9990026595744681,0.9993351063829787,1.0,1.0,0.9990026595744681,0.9973404255319149,1.0,0.9923537234042553,0.9990026595744681,0.9900265957446809,1.0,0.9970079787234043,1.0,0.9996675531914894,1.0,0.9990026595744681,0.9920212765957447,1.0,0.995345744680851,1.0,1.0,0.9970079787234043,0.996343085106383,0.9966755319148937,0.9920212765957447,0.9993351063829787,0.995345744680851,0.9976728723404256,0.9996675531914894,0.9990026595744681,0.9980053191489362,0.9996675531914894,0.9980053191489362,0.995345744680851,0.9757313829787234,1.0,1.0,0.992686170212766,0.9900265957446809,1.0,0.9966755319148937,0.991688829787234,0.9923537234042553
Precision,0.9411764705882353,1.0,0,0,0.4,0,1.0,0,0.6666666666666666,0,0,0,0,1.0,0,0,1.0,0.9411764705882353,0,0.68,0,0,1.0,0,0,0,0.8888888888888888,0,0.7990430622009569,0,0,0,0.9285714285714286,0,0,0.9636929460580913,0,0,0,0,0,0,1.0,0.8947368421052632,0.8666666666666667,0.9290322580645162,0,0,0,1.0,0,1.0,1.0,0,0,0.6984126984126984,0,0.6666666666666666,0,0,0.9285714285714286,0,0,0,0,0,0,0,0.8148148148148148,0,0,1.0,0,0.7348837209302326,0.9375,0,0.84,0,0,0,0,0.8275862068965517,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,1.0,0,0,0,0,0.8850574712643678,0,0,0,0,0,0,0,0.8125,0,0,0.96,0,0,0,0,0,0,0.7916666666666666,0,0,0.9032258064516129,0.8767123287671232,0,0.75,0.2727272727272727,0
Recall,0.9526717557251908,0.041666666666666664,0,0,0.3076923076923077,0,0.2,0,0.2,0,0,0,0,0.2222222222222222,0,0,0.8620689655172413,0.5517241379310345,0,0.6181818181818182,0,0,0.045454545454545456,0,0,0,0.2,0,0.9027027027027027,0,0,0,0.37142857142857144,0,0,0.985153764581124,0,0,0,0,0,0,0.08333333333333333,0.3090909090909091,0.7027027027027027,0.8228571428571428,0,0,0,0.36363636363636365,0,0.7,0.5,0,0,0.7333333333333333,0,0.10526315789473684,0,0,0.52,0,0,0,0,0,0,0,0.6285714285714286,0,0,0.1111111111111111,0,0.7783251231527094,0.375,0,0.4117647058823529,0,0,0,0,0.39344262295081966,0.2222222222222222,0,0,0.5384615384615384,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.08,0,0,0,0.3076923076923077,0,0,0,0,0.8461538461538461,0,0,0,0,0,0,0,0.38235294117647056,0,0,0.9056603773584906,0,0,0,0,0,0,0.7777777777777778,0,0,0.5957446808510638,0.7529411764705882,0,0.25,0.15,0
F1_score,0.9468892261001518,0.07999999999999999,0,0,0.34782608695652173,0,0.33333333333333337,0,0.30769230769230765,0,0,0,0,0.3636363636363636,0,0,0.9259259259259259,0.6956521739130435,0,0.6476190476190475,0,0,0.08695652173913045,0,0,0,0.326530612244898,0,0.847715736040609,0,0,0,0.5306122448979592,0,0,0.9743051914001049,0,0,0,0,0,0,0.15384615384615385,0.45945945945945943,0.7761194029850748,0.8727272727272727,0,0,0,0.5333333333333333,0,0.8235294117647058,0.6666666666666666,0,0,0.7154471544715446,0,0.18181818181818182,0,0,0.6666666666666666,0,0,0,0,0,0,0,0.7096774193548386,0,0,0.19999999999999998,0,0.7559808612440193,0.5357142857142857,0,0.5526315789473684,0,0,0,0,0.5333333333333333,0.3636363636363636,0,0,0.7000000000000001,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0.14814814814814814,0,0,0,0.47058823529411764,0,0,0,0,0.8651685393258427,0,0,0,0,0,0,0,0.52,0,0,0.9320388349514563,0,0,0,0,0,0,0.7846607669616519,0,0,0.7179487179487178,0.8101265822784809,0,0.375,0.19354838709677416,0
